year,Building Materials,Foodstuff_`Total,Machinery,Textiles_Clothings,Other_Goods,Motor_Vehicles,Appliances
1993,5300.587,8171.078,4354.204,7120.311,28383.544,12778.755,5520.823
1994,4286.321,8030.963,3158.779,5498.328,20917.085,9159.301,5406.492
1995,3510.631,8368.679,3188.98,5434.192,27875.298,6324.237,4444.797
1996,3876.7,10211,3109.9,5397.9,28606.2,8823.7,4757.5
1997,3835.088,8532.094,3200.215,5269.302,36248.67,9836.598,3762.656
1998,3781.633,8746.666,3221.55,5084.258,33245.449,12439.415,3436.44
1999,3479.796,8314.82,2717.927,4380.268,34721.837,8458.074,3607.502
2001,4514.28,9847.794,5240.321,4944.148,40933.26,11792.175,3753.743
2002,4282.497,10079.609,3457.605,5096.061,39878.439,13717.088,3243.899
2003,3889.001,12636.268,3493.629,4484.619,44668.844,13929.019,3073.855
2004,4562.601,11617.859,4349.354,3796.552,53118.383,14987.865,3586.781
2005,7370.125,13289.473,6107.049,4628.828,54702.029,25558.445,4527.074
2006,10684.279,13141.631,10249.641,4256.36,62863.656,26664.574,4431.52
2007,14661.025,18109.44,12255.026,4626.038,88705.467,25608.734,4552.557
2008,19011.775,27760.682,13687.446,4649.067,115849.868,25711.081,5777.072
2009,11787.329,18363.098,15283.804,4597.212,84183.219,23033.696,4471.631
2010,15405.789,20945.258,20129.697,3797.845,89699.81,34307.772,4686.329
2011,20563.417,18214.383,24296.991,4869.943,119801.118,36744.756,6119.612
2013,20891.802,32326.959,20700.321,4011.522,114073.305,56291.812,5124.807
2014,26639.058,29164.984,21358.87,4362.636,101952.775,48400.848,6786.481
2015,29196.224,28436.567,15896.277,2913.978,102574.841,53675.439,6854.831
2016,19318.3365,27413.15811,10393.0674,2051.460509,77891.66913,34820.4883,5117.645557
2017,14568.87745,19195.22495,7560.222713,2201.000307,66730.70552,25728.29002,4057.981396
2018,15450.31363,17833.03802,5341.660963,1712.810921,68983.28244,19773.43735,3375.18167
2019,14929.5679,16357.0265,6028.359227,1878.289811,67025.65754,25442.89887,3408.168896
2020,12286.42169,13784.09514,4750.821449,971.4587,62498.74648,26156.55568,2774.878281
2021,12823.44079,17706.65752,4350.5007,717.40552,62420.8712,29401.13325,3335.366252
2022,15304.59342,19702.57656,5241.676812,834.4440512,78148.41056,35662.11749,3228.020345
2000,3501.951,9072,3902.707,3994.565,38614.478,8922.834,3341.963
2012,24783.42,24532.104,29805.285,4584.734,119188.971,47314.862,5375.015